125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1114718 --> 193.170.87.146 C:\LASET\PREDICTS x1114718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1214718 --> 193.170.87.146 C:\LASET\PREDICTS x1214718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1314718 --> 193.170.87.146 C:\LASET\PREDICTS x1314718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1414718 --> 193.170.87.146 C:\LASET\PREDICTS x1414718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1514718 --> 193.170.87.146 C:\LASET\PREDICTS x1514718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1614718 --> 193.170.87.146 C:\LASET\PREDICTS x1614718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1714718 --> 193.170.87.146 C:\LASET\PREDICTS x1714718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1814718 --> 193.170.87.146 C:\LASET\PREDICTS x1814718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1914718 --> 193.170.87.146 C:\LASET\PREDICTS x1914718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2014718 --> 193.170.87.146 C:\LASET\PREDICTS x2014718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2114718 --> 193.170.87.146 C:\LASET\PREDICTS x2114718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2214718 --> 193.170.87.146 C:\LASET\PREDICTS x2214718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2314718 --> 193.170.87.146 C:\LASET\PREDICTS x2314718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2414718 --> 193.170.87.146 C:\LASET\PREDICTS x2414718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2514718 --> 193.170.87.146 C:\LASET\PREDICTS x2514718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2614718 --> 193.170.87.146 C:\LASET\PREDICTS x2614718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2714718 --> 193.170.87.146 C:\LASET\PREDICTS x2714718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2814718 --> 193.170.87.146 C:\LASET\PREDICTS x2814718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2914718 --> 193.170.87.146 C:\LASET\PREDICTS x2914718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3014718 --> 193.170.87.146 C:\LASET\PREDICTS x3014718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3114718 --> 193.170.87.146 C:\LASET\PREDICTS x3114718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3214718 --> 193.170.87.146 C:\LASET\PREDICTS x3214718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3314718 --> 193.170.87.146 C:\LASET\PREDICTS x3314718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3414718 --> 193.170.87.146 C:\LASET\PREDICTS x3414718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3514718 --> 193.170.87.146 C:\LASET\PREDICTS x3514718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3614718 --> 193.170.87.146 C:\LASET\PREDICTS x3614718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3714718 --> 193.170.87.146 C:\LASET\PREDICTS x3714718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3814718 --> 193.170.87.146 C:\LASET\PREDICTS x3814718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3914718 --> 193.170.87.146 C:\LASET\PREDICTS x3914718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4014718 --> 193.170.87.146 C:\LASET\PREDICTS x4014718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4114718 --> 193.170.87.146 C:\LASET\PREDICTS x4114718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4214718 --> 193.170.87.146 C:\LASET\PREDICTS x4214718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4314718 --> 193.170.87.146 C:\LASET\PREDICTS x4314718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4414718 --> 193.170.87.146 C:\LASET\PREDICTS x4414718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4514718 --> 193.170.87.146 C:\LASET\PREDICTS x4514718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4614718 --> 193.170.87.146 C:\LASET\PREDICTS x4614718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4714718 --> 193.170.87.146 C:\LASET\PREDICTS x4714718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4814718 --> 193.170.87.146 C:\LASET\PREDICTS x4814718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4914718 --> 193.170.87.146 C:\LASET\PREDICTS x4914718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5014718 --> 193.170.87.146 C:\LASET\PREDICTS x5014718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5114718 --> 193.170.87.146 C:\LASET\PREDICTS x5114718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5214718 --> 193.170.87.146 C:\LASET\PREDICTS x5214718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5314718 --> 193.170.87.146 C:\LASET\PREDICTS x5314718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5414718 --> 193.170.87.146 C:\LASET\PREDICTS x5414718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5514718 --> 193.170.87.146 C:\LASET\PREDICTS x5514718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5614718 --> 193.170.87.146 C:\LASET\PREDICTS x5614718
125.05.27 21:31 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5714718 --> 193.170.87.146 C:\LASET\PREDICTS x5714718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1014718 --> 193.170.87.146 C:\LASET\PREDICTS x1014718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1114718 --> 193.170.87.146 C:\LASET\PREDICTS x1114718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1214718 --> 193.170.87.146 C:\LASET\PREDICTS x1214718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1314718 --> 193.170.87.146 C:\LASET\PREDICTS x1314718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1414718 --> 193.170.87.146 C:\LASET\PREDICTS x1414718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1514718 --> 193.170.87.146 C:\LASET\PREDICTS x1514718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1614718 --> 193.170.87.146 C:\LASET\PREDICTS x1614718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1714718 --> 193.170.87.146 C:\LASET\PREDICTS x1714718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1814718 --> 193.170.87.146 C:\LASET\PREDICTS x1814718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1914718 --> 193.170.87.146 C:\LASET\PREDICTS x1914718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2014718 --> 193.170.87.146 C:\LASET\PREDICTS x2014718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2114718 --> 193.170.87.146 C:\LASET\PREDICTS x2114718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2214718 --> 193.170.87.146 C:\LASET\PREDICTS x2214718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2314718 --> 193.170.87.146 C:\LASET\PREDICTS x2314718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2414718 --> 193.170.87.146 C:\LASET\PREDICTS x2414718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2514718 --> 193.170.87.146 C:\LASET\PREDICTS x2514718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2614718 --> 193.170.87.146 C:\LASET\PREDICTS x2614718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2714718 --> 193.170.87.146 C:\LASET\PREDICTS x2714718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2814718 --> 193.170.87.146 C:\LASET\PREDICTS x2814718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x2914718 --> 193.170.87.146 C:\LASET\PREDICTS x2914718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3014718 --> 193.170.87.146 C:\LASET\PREDICTS x3014718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3114718 --> 193.170.87.146 C:\LASET\PREDICTS x3114718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3214718 --> 193.170.87.146 C:\LASET\PREDICTS x3214718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3314718 --> 193.170.87.146 C:\LASET\PREDICTS x3314718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3414718 --> 193.170.87.146 C:\LASET\PREDICTS x3414718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3514718 --> 193.170.87.146 C:\LASET\PREDICTS x3514718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3614718 --> 193.170.87.146 C:\LASET\PREDICTS x3614718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3714718 --> 193.170.87.146 C:\LASET\PREDICTS x3714718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3814718 --> 193.170.87.146 C:\LASET\PREDICTS x3814718
125.05.27 21:38 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3914718 --> 193.170.87.146 C:\LASET\PREDICTS x3914718
